country,weightG,priceYen,itemCount,storageDays,site,leaderCompany,leaderMethod,leaderLow,leaderHigh,rankIndeterminate,blockingKeys,blockingLabels,blockingTiers,blockingUnknownReasons,blockingSourceUrls,runnerUpCompany,runnerUpLow
US,200,3000,1,0,mercari,buyee,courier-ecms,7731,,false,,,,,,fromjapan,7738
US,200,10000,1,0,mercari,buyee,courier-ecms,15887,,false,,,,,,fromjapan,15894
US,200,30000,1,0,mercari,buyee,courier-ecms,39187,,false,,,,,,fromjapan,39195
US,200,60000,1,0,mercari,zenmarket,small-packet-air,74123,,false,,,,,,buyee,74137
US,200,100000,1,0,mercari,zenmarket,small-packet-air,120574,,false,,,,,,buyee,120738
US,200,150000,1,0,mercari,zenmarket,small-packet-air,178637,,false,,,,,,buyee,178990
US,200,250000,1,0,mercari,buyee,courier-ecms,295492,,false,,,,,,fromjapan,295499
US,500,3000,1,0,mercari,buyee,courier-ecms,7731,,false,,,,,,fromjapan,8475
US,500,10000,1,0,mercari,buyee,courier-ecms,15887,,false,,,,,,fromjapan,16631
US,500,30000,1,0,mercari,buyee,courier-ecms,39187,,false,,,,,,fromjapan,39931
US,500,60000,1,0,mercari,buyee,courier-ecms,74137,,false,,,,,,zenmarket,74874
US,500,100000,1,0,mercari,buyee,courier-ecms,120738,,false,,,,,,zenmarket,121325
US,500,150000,1,0,mercari,buyee,courier-ecms,178990,,false,,,,,,zenmarket,179388
US,500,250000,1,0,mercari,buyee,courier-ecms,295492,,false,,,,,,fromjapan,296236
US,1000,3000,1,0,mercari,buyee,courier-ecms,7731,,false,,,,,,fromjapan,9246
US,1000,10000,1,0,mercari,buyee,courier-ecms,15887,,false,,,,,,fromjapan,17402
US,1000,30000,1,0,mercari,buyee,courier-ecms,39187,,false,,,,,,fromjapan,40702
US,1000,60000,1,0,mercari,buyee,courier-ecms,74137,,false,,,,,,fromjapan,75652
US,1000,100000,1,0,mercari,buyee,courier-ecms,120738,,false,,,,,,fromjapan,122253
US,1000,150000,1,0,mercari,buyee,courier-ecms,178990,,false,,,,,,fromjapan,180505
US,1000,250000,1,0,mercari,buyee,courier-ecms,295492,,false,,,,,,fromjapan,297007
US,2000,3000,1,0,mercari,buyee,courier-ecms,9030,,false,,,,,,zenmarket,10015
US,2000,10000,1,0,mercari,buyee,courier-ecms,17185,,false,,,,,,zenmarket,18171
US,2000,30000,1,0,mercari,buyee,courier-ecms,40486,,false,,,,,,zenmarket,41471
US,2000,60000,1,0,mercari,buyee,courier-ecms,75436,,false,,,,,,zenmarket,76421
