country,weightG,priceYen,itemCount,storageDays,site,leaderCompany,leaderMethod,leaderLow,leaderHigh,rankIndeterminate,blockingKeys,blockingLabels,blockingTiers,blockingUnknownReasons,blockingSourceUrls,runnerUpCompany,runnerUpLow
US,200,3000,1,0,mercari,buyee,courier-ecms,7731,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,7738
US,200,10000,1,0,mercari,buyee,courier-ecms,15887,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,15894
US,200,30000,1,0,mercari,buyee,courier-ecms,39187,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,39195
US,200,60000,1,0,mercari,zenmarket,small-packet-air,74123,,false,,,,,,buyee,74137
US,200,100000,1,0,mercari,zenmarket,small-packet-air,120574,,false,,,,,,buyee,120738
US,200,150000,1,0,mercari,zenmarket,small-packet-air,178637,,false,,,,,,buyee,178990
US,200,250000,1,0,mercari,buyee,courier-ecms,295492,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,295499
US,500,3000,1,0,mercari,buyee,courier-ecms,7731,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,8475
US,500,10000,1,0,mercari,buyee,courier-ecms,15887,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,16631
US,500,30000,1,0,mercari,buyee,courier-ecms,39187,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,39931
US,500,60000,1,0,mercari,buyee,courier-ecms,74137,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,74874
US,500,100000,1,0,mercari,buyee,courier-ecms,120738,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,121325
US,500,150000,1,0,mercari,buyee,courier-ecms,178990,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,179388
US,500,250000,1,0,mercari,buyee,courier-ecms,295492,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,296236
US,1000,3000,1,0,mercari,buyee,courier-ecms,7731,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,9246
US,1000,10000,1,0,mercari,buyee,courier-ecms,15887,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,17402
US,1000,30000,1,0,mercari,buyee,courier-ecms,39187,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,40702
US,1000,60000,1,0,mercari,buyee,courier-ecms,74137,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,75652
US,1000,100000,1,0,mercari,buyee,courier-ecms,120738,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,122253
US,1000,150000,1,0,mercari,buyee,courier-ecms,178990,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,180505
US,1000,250000,1,0,mercari,buyee,courier-ecms,295492,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,fromjapan,297007
US,2000,3000,1,0,mercari,buyee,courier-ecms,9030,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,10015
US,2000,10000,1,0,mercari,buyee,courier-ecms,17185,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,18171
US,2000,30000,1,0,mercari,buyee,courier-ecms,40486,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,41471
US,2000,60000,1,0,mercari,buyee,courier-ecms,75436,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,76421
US,2000,100000,1,0,mercari,buyee,courier-ecms,122037,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,123022
US,2000,150000,1,0,mercari,buyee,courier-ecms,180288,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,181274
US,2000,250000,1,0,mercari,buyee,courier-ecms,296790,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,297776
US,3000,3000,1,0,mercari,buyee,courier-ecms,9214,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,10579
US,3000,10000,1,0,mercari,buyee,courier-ecms,17370,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,18735
US,3000,30000,1,0,mercari,buyee,courier-ecms,40670,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,42035
US,3000,60000,1,0,mercari,buyee,courier-ecms,75620,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,76985
US,3000,100000,1,0,mercari,buyee,courier-ecms,122221,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,123586
US,3000,150000,1,0,mercari,buyee,courier-ecms,180473,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,181837
US,3000,250000,1,0,mercari,buyee,courier-ecms,296975,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,298339
US,5000,3000,1,0,mercari,buyee,courier-ecms,11364,,true,courier-destination-fees,Destination-side courier fees (unpublished),none,,,zenmarket,13010
