country,weightG,priceYen,itemCount,storageDays,site,leaderCompany,leaderMethod,leaderLow,leaderHigh,rankIndeterminate,blockingKeys,blockingLabels,blockingTiers,blockingUnknownReasons,blockingSourceUrls,runnerUpCompany,runnerUpLow,closedByAssumption
US,200,3000,1,0,mercari,buyee,courier-ecms,7731,,false,,,,,,fromjapan,7738,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,200,10000,1,0,mercari,buyee,courier-ecms,15887,,false,,,,,,fromjapan,15894,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,200,30000,1,0,mercari,buyee,courier-ecms,39187,,false,,,,,,fromjapan,39195,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,200,60000,1,0,mercari,zenmarket,small-packet-air,74123,,false,,,,,,buyee,74137,
US,200,100000,1,0,mercari,zenmarket,small-packet-air,120574,,false,,,,,,buyee,120738,
US,200,150000,1,0,mercari,zenmarket,small-packet-air,178637,,false,,,,,,buyee,178990,
US,200,250000,1,0,mercari,buyee,courier-ecms,295492,,false,,,,,,fromjapan,295499,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,500,3000,1,0,mercari,buyee,courier-ecms,7731,,false,,,,,,fromjapan,8475,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,500,10000,1,0,mercari,buyee,courier-ecms,15887,,false,,,,,,fromjapan,16631,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,500,30000,1,0,mercari,buyee,courier-ecms,39187,,false,,,,,,fromjapan,39931,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,500,60000,1,0,mercari,buyee,courier-ecms,74137,,false,,,,,,zenmarket,74874,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,500,100000,1,0,mercari,buyee,courier-ecms,120738,,false,,,,,,zenmarket,121325,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,500,150000,1,0,mercari,buyee,courier-ecms,178990,,false,,,,,,zenmarket,179388,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,500,250000,1,0,mercari,buyee,courier-ecms,295492,,false,,,,,,fromjapan,296236,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,1000,3000,1,0,mercari,buyee,courier-ecms,7731,,false,,,,,,fromjapan,9246,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,1000,10000,1,0,mercari,buyee,courier-ecms,15887,,false,,,,,,fromjapan,17402,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,1000,30000,1,0,mercari,buyee,courier-ecms,39187,,false,,,,,,fromjapan,40702,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,1000,60000,1,0,mercari,buyee,courier-ecms,74137,,false,,,,,,fromjapan,75652,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,1000,100000,1,0,mercari,buyee,courier-ecms,120738,,false,,,,,,fromjapan,122253,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,1000,150000,1,0,mercari,buyee,courier-ecms,178990,,false,,,,,,fromjapan,180505,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,1000,250000,1,0,mercari,buyee,courier-ecms,295492,,false,,,,,,fromjapan,297007,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,3000,1,0,mercari,buyee,courier-ecms,9030,,false,,,,,,zenmarket,10015,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,10000,1,0,mercari,buyee,courier-ecms,17185,,false,,,,,,zenmarket,18171,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,30000,1,0,mercari,buyee,courier-ecms,40486,,false,,,,,,zenmarket,41471,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,60000,1,0,mercari,buyee,courier-ecms,75436,,false,,,,,,zenmarket,76421,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,100000,1,0,mercari,buyee,courier-ecms,122037,,false,,,,,,zenmarket,123022,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,150000,1,0,mercari,buyee,courier-ecms,180288,,false,,,,,,zenmarket,181274,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,2000,250000,1,0,mercari,buyee,courier-ecms,296790,,false,,,,,,zenmarket,297776,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,3000,1,0,mercari,buyee,courier-ecms,9214,,false,,,,,,zenmarket,10579,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,10000,1,0,mercari,buyee,courier-ecms,17370,,false,,,,,,zenmarket,18735,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,30000,1,0,mercari,buyee,courier-ecms,40670,,false,,,,,,zenmarket,42035,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,60000,1,0,mercari,buyee,courier-ecms,75620,,false,,,,,,zenmarket,76985,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,100000,1,0,mercari,buyee,courier-ecms,122221,,false,,,,,,zenmarket,123586,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,150000,1,0,mercari,buyee,courier-ecms,180473,,false,,,,,,zenmarket,181837,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,3000,250000,1,0,mercari,buyee,courier-ecms,296975,,false,,,,,,zenmarket,298339,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,5000,3000,1,0,mercari,buyee,courier-ecms,11364,,false,,,,,,zenmarket,13010,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,5000,10000,1,0,mercari,buyee,courier-ecms,19520,,false,,,,,,zenmarket,21166,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,5000,30000,1,0,mercari,buyee,courier-ecms,42821,,false,,,,,,zenmarket,44466,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
US,5000,60000,1,0,mercari,buyee,courier-ecms,77771,,false,,,,,,zenmarket,79416,courier-fuel-surcharge-included;courier-remote-area-surcharge-excluded
